0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,6,8,-2,-8,-11,-2,0,-10,-8,12,0,0,0,0,0,7,0,10,-5,0,-13,0,13,-14,-11,0,0,-9,0,-15,-9,-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,-11,0,0,0,0,-9,-12,0,-14,0,-14,0,0,-14,0,-14,12,13,0,0,-15,0,0,13,0,0,0,12,14,13,0,0,0,0,0,0,12,0,11,0,0,14
11,9,13,-9,3,-6,6,8,4,7,2,-9,7,-12,-12,-10,-13,14,8,5,-5,0,7,14,-6,0,-15,-13,-13,8,7,-10,-12,10,11,10,8,8,-8,-11,-5,11,13,13,-8,-12,0,0
0,0,0,-7,-11,0,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,-15,-14,0,0
5,-6,11,5,-8,-2,-9,11,0,9,7,-11,-9,9,7,11,-7,11,10,-2,-11,0,11,13,-13,10,-15,-9,0,0,3,-11,0,-7,12,-6,0,0,10,-11,8,-6,0,0,0,-7,9,12
-11,-11,10,-11,-10,8,-14,-11,-6,7,-11,-15,-14,-10,-2,6,-11,13,-11,-9,-12,8,12,13,-13,6,-7,6,8,11,-8,7,-8,11,12,5,7,9,8,10,5,11,11,-7,5,10,10,13
-6,-13,13,0,11,-10,11,-6,9,0,0,9,13,12,-6,11,-10,9,9,11,12,-9,-10,13,-9,0,0,-12,-3,14,-11,0,-14,11,10,9,0,-15,-11,-13,0,-4,-5,-9,-13,-13,-11,0
9,-7,11,-6,-1,-3,-1,6,10,12,-11,-11,6,8,-2,11,-13,12,-6,-10,-7,-11,13,15,-10,11,-10,-13,10,11,-12,-9,-9,13,12,-10,-12,6,-10,-10,-13,-12,7,-8,4,-7,4,10
-10,-12,11,-1,10,7,10,5,6,-8,-8,-9,-6,14,9,11,-8,-8,4,-12,2,-8,10,15,7,12,-10,-5,-7,13,-13,-8,-13,5,14,11,-9,-13,-12,0,-11,2,11,-12,-13,-13,0,13
13,0,14,0,0,10,0,-12,0,0,0,0,0,14,0,0,0,-14,0,0,0,0,-11,-13,13,0,0,0,0,0,0,15,0,11,-9,13,0,0,0,0,0,0,11,0,0,0,0,0
12,10,14,11,12,6,10,-11,9,-12,-10,11,8,11,-9,7,7,-12,7,13,11,3,9,-12,13,7,-3,5,11,5,13,-10,-10,-9,-14,15,14,14,-8,-11,-11,11,-12,9,-9,0,-11,-14
-12,-11,-13,5,-10,3,-12,-11,-9,-8,2,5,-8,10,13,-8,-5,-14,7,-8,-7,15,12,-8,12,12,0,12,0,11,0,11,0,0,0,12,0,-9,0,-11,0,0,0,0,0,0,0,0
0,0,0,0,0,0,13,0,0,0,0,-11,15,0,7,0,8,0,-10,0,0,14,0,-14,12,0,0,14,0,0,0,11,0,-12,-12,13,0,13,0,0,0,0,0,0,0,11,0,0
-12,5,-7,-10,-11,-8,-11,-12,-7,-13,-12,-13,-10,0,11,-12,0,-13,-14,0,0,14,9,-12,11,10,0,14,14,12,12,11,13,12,-12,0,13,0,0,0,0,15,0,0,-11,14,0,0
-5,-11,12,15,-8,11,6,-5,13,-7,9,10,9,8,9,10,8,-13,-2,13,10,11,-13,-10,0,13,10,7,10,12,10,0,9,0,-12,10,8,-10,-8,-12,8,-10,-12,8,-12,-12,-13,-13
0,10,0,12,0,13,12,-12,14,0,0,-13,15,0,0,9,12,-14,-8,13,12,10,0,-12,0,0,0,0,12,0,0,0,0,0,-13,14,0,0,0,0,-12,0,-12,0,0,13,0,0
-8,-13,-14,14,7,15,9,-9,13,9,-5,-11,0,6,1,12,12,-13,11,9,9,12,0,-7,14,11,10,12,6,14,10,10,0,0,-14,3,13,0,-11,-12,-9,-13,-13,0,-13,-13,-13,-11
-11,4,4,6,11,9,12,9,-9,-12,8,-9,13,-11,0,-8,14,14,12,11,-9,-10,13,13,11,11,-12,-15,-10,0,3,-13,-12,-12,-13,0,11,7,-7,-13,-13,-3,0,-12,-11,-13,10,-13
-12,-11,6,7,-5,-3,5,12,-11,-13,-9,-10,-10,8,12,12,15,-10,12,-4,-7,0,-10,-3,10,10,7,8,11,5,-10,7,0,-10,6,-2,9,-12,-6,-11,9,-5,-6,-13,-12,-11,9,7
-10,0,0,0,0,0,0,13,0,0,0,-10,13,11,13,11,14,13,0,0,-15,14,0,0,0,0,-13,0,9,0,0,0,-14,0,-14,-11,0,0,0,-10,0,0,0,-14,0,0,0,0
-15,-12,-11,11,-11,10,-13,-11,-12,-14,-10,-13,-13,10,13,11,14,-5,-8,-12,-10,11,-8,9,9,-7,14,12,9,-8,-11,0,9,0,-8,3,-3,-13,10,-6,11,8,5,-12,0,13,12,-10
-12,-12,-9,9,4,8,12,8,8,-4,-9,11,11,-5,-8,8,-7,12,9,10,9,9,-12,7,5,7,10,-10,-8,8,-1,-10,-2,-9,-2,6,4,-15,5,-12,-6,4,-5,-12,-11,-11,-11,-12
-10,4,-10,10,6,9,7,7,-9,-8,-8,-11,13,13,13,11,13,13,-10,8,2,8,13,13,-10,12,11,-13,12,9,-15,-13,-12,12,-11,-11,-8,-13,8,-12,-14,-10,-10,-10,-9,6,-9,-11
-13,-14,-14,12,9,12,11,0,1,-11,0,-11,0,12,11,11,13,0,12,0,-4,13,-12,9,11,13,11,12,0,0,-13,-9,0,-12,-8,-7,0,-15,0,-9,-13,-10,-5,-14,-13,0,-9,6
0,-12,-12,-14,-12,0,-12,0,-12,0,-12,-10,-13,13,13,13,12,0,0,9,0,0,0,0,0,12,0,0,13,13,0,14,0,-13,14,0,0,-12,0,0,13,0,-13,0,-13,-15,-12,0
-12,3,-14,11,-11,9,-8,11,12,13,-10,-14,14,12,13,12,12,1,-8,-13,-15,9,9,-13,-5,10,14,13,12,-9,-12,11,-4,-10,10,-10,-2,9,9,11,9,-11,-13,-13,10,10,-2,12
-13,-10,-14,0,-12,6,-13,-12,-7,0,0,-14,-11,0,10,0,0,-12,0,-13,-11,11,11,0,-9,9,15,13,0,0,0,12,14,0,12,0,0,-11,0,8,12,6,0,-12,6,12,0,0
0,-14,9,4,-11,10,0,-9,10,0,0,0,0,12,0,7,0,0,11,0,-8,13,-15,-11,10,10,0,12,0,11,0,0,0,0,10,0,0,-13,0,0,12,-10,-14,-11,0,1,0,0
-8,4,-13,0,-10,0,-10,0,8,12,-10,-11,0,13,12,12,9,0,0,-9,0,0,10,6,-12,11,0,0,6,10,-15,14,10,13,6,-13,-13,-10,0,11,9,-13,0,0,0,0,0,0
-10,-10,-12,5,-7,8,-9,-11,-6,-7,-6,-8,-10,12,11,12,10,-11,11,-6,6,10,-9,-6,10,9,13,13,8,11,-10,6,1,-11,8,-10,-6,-10,-8,4,10,-9,-12,-15,-9,-9,-9,12
10,12,-5,11,8,6,12,7,12,9,-5,4,15,-4,-4,11,0,14,-11,-7,-11,-8,12,-13,-11,-14,1,-1,8,-14,-9,-5,6,-9,-14,-7,-11,10,12,7,0,-12,8,10,12,13,12,0
0,0,0,0,0,0,-13,-14,0,-12,0,-14,-14,0,-12,-8,0,0,-9,-14,0,-9,0,11,-9,0,12,-8,0,-13,0,-11,10,0,-9,0,11,0,11,13,12,12,9,0,14,14,12,0
-5,-13,4,12,10,11,10,-10,11,-7,12,11,12,9,-12,2,-7,13,9,13,10,-11,-15,-9,5,7,11,-14,-12,-12,11,-8,-9,-11,-11,-1,11,-12,-8,-9,0,0,-12,11,10,9,-6,-13
12,11,4,10,11,8,10,-8,12,0,9,9,10,10,-8,10,-10,8,-12,7,9,-13,8,-5,-11,-11,11,-13,0,-13,-12,-10,-10,12,-11,-10,-13,12,8,12,-12,-12,12,8,13,15,14,11
0,-12,0,14,13,15,13,0,12,10,14,8,10,7,-11,0,-13,12,-12,11,11,-10,-13,11,0,0,0,-12,-13,-12,-13,-12,12,-9,-13,-12,0,-11,0,0,-12,-11,0,12,0,9,0,0
-11,-10,-11,-9,-8,-10,-11,-13,-13,-9,7,-12,-13,-6,8,-10,-6,-8,-10,-6,-12,-6,-7,-6,-1,8,15,13,11,-5,6,0,13,9,8,10,8,-11,12,-5,11,8,6,7,-10,11,5,-10
0,-14,0,0,0,0,0,-12,0,-11,0,13,-12,0,0,0,0,-10,0,0,14,-8,-15,12,12,13,0,0,-13,12,0,0,0,0,12,0,0,-12,-13,0,0,0,-11,0,-12,-10,0,-13
8,9,3,-10,9,-8,7,-8,10,10,-11,12,-12,11,-11,7,-13,-4,7,11,12,-13,10,12,-5,12,13,-15,-7,11,-14,12,9,13,-6,-12,-12,-11,-10,0,-10,0,10,-8,-6,-6,-8,9
0,0,0,-11,0,0,0,-13,0,0,0,12,-13,0,0,0,-13,-13,13,0,15,-13,0,0,14,0,0,0,0,13,0,0,0,0,12,0,0,-14,0,-12,0,0,-12,0,0,-12,0,0
-9,-11,12,12,11,12,13,11,9,9,9,14,12,8,11,0,0,12,11,13,11,-10,-13,1,10,9,-9,-11,-11,11,-8,-10,-12,0,-9,0,0,-14,0,-14,-10,-12,-10,0,0,-13,-12,0
11,10,11,9,11,5,12,11,14,12,-9,13,13,12,-5,11,-6,10,8,12,8,-12,7,9,-6,10,-2,-15,-5,10,-13,-11,-12,9,-9,-13,-12,8,-10,-7,-13,-12,-5,-12,11,-10,-5,13
0,0,0,9,13,0,15,0,12,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,11,0,0,-11,0,-12,0,-12,0,0,0,0,0,-14,0,-12,-10,0,0,0,-13,0,0
11,12,-10,-9,8,-9,-8,2,7,8,-9,-11,-3,-1,11,-9,8,-5,-12,-11,5,10,14,3,-11,-12,8,-8,0,-9,-13,-4,8,13,-8,-10,-13,12,10,10,-11,-9,13,-11,10,13,13,15
0,10,-14,-12,13,0,-8,-12,0,0,-11,-11,0,0,10,0,0,0,-8,-9,0,0,15,0,0,0,0,12,13,10,-14,0,12,0,0,-10,0,0,0,0,-8,0,13,0,0,-11,-9,0
-10,-12,-11,-2,6,12,5,-10,-11,-7,9,-9,-6,-4,6,5,11,-8,13,7,-7,12,-13,8,11,12,-8,15,-7,12,14,-5,8,-14,-7,9,14,-13,-12,-12,9,10,-14,-14,-10,-13,-13,-7
